date,wday,month,snap_CA,w_1,w_2,w_3,w_4,w_5,w_6,w_7
2011-04-23,1,4,0,1,0,0,0,0,0,0
2011-04-24,2,4,0,0,1,0,0,0,0,0
2011-04-25,3,4,0,0,0,1,0,0,0,0
2011-04-26,4,4,0,0,0,0,1,0,0,0
2011-04-27,5,4,0,0,0,0,0,1,0,0
2011-04-28,6,4,0,0,0,0,0,0,1,0
2011-04-29,7,4,0,0,0,0,0,0,0,1
2011-04-30,1,4,0,1,0,0,0,0,0,0
2011-05-01,2,5,1,0,1,0,0,0,0,0
2011-05-02,3,5,1,0,0,1,0,0,0,0
2011-05-03,4,5,1,0,0,0,1,0,0,0
2011-05-04,5,5,1,0,0,0,0,1,0,0
2011-05-05,6,5,1,0,0,0,0,0,1,0
2011-05-06,7,5,1,0,0,0,0,0,0,1
2011-05-07,1,5,1,1,0,0,0,0,0,0
2011-05-08,2,5,1,0,1,0,0,0,0,0
2011-05-09,3,5,1,0,0,1,0,0,0,0
2011-05-10,4,5,1,0,0,0,1,0,0,0
2011-05-11,5,5,0,0,0,0,0,1,0,0
2011-05-12,6,5,0,0,0,0,0,0,1,0
2011-05-13,7,5,0,0,0,0,0,0,0,1
2011-05-14,1,5,0,1,0,0,0,0,0,0
2011-05-15,2,5,0,0,1,0,0,0,0,0
2011-05-16,3,5,0,0,0,1,0,0,0,0
2011-05-17,4,5,0,0,0,0,1,0,0,0
2011-05-18,5,5,0,0,0,0,0,1,0,0
2011-05-19,6,5,0,0,0,0,0,0,1,0
2011-05-20,7,5,0,0,0,0,0,0,0,1
2011-05-21,1,5,0,1,0,0,0,0,0,0
2011-05-22,2,5,0,0,1,0,0,0,0,0
2011-05-23,3,5,0,0,0,1,0,0,0,0
2011-05-24,4,5,0,0,0,0,1,0,0,0
2011-05-25,5,5,0,0,0,0,0,1,0,0
2011-05-26,6,5,0,0,0,0,0,0,1,0
2011-05-27,7,5,0,0,0,0,0,0,0,1
2011-05-28,1,5,0,1,0,0,0,0,0,0
2011-05-29,2,5,0,0,1,0,0,0,0,0
2011-05-30,3,5,0,0,0,1,0,0,0,0
2011-05-31,4,5,0,0,0,0,1,0,0,0
2011-06-01,5,6,1,0,0,0,0,1,0,0
2011-06-02,6,6,1,0,0,0,0,0,1,0
2011-06-03,7,6,1,0,0,0,0,0,0,1
2011-06-04,1,6,1,1,0,0,0,0,0,0
2011-06-05,2,6,1,0,1,0,0,0,0,0
2011-06-06,3,6,1,0,0,1,0,0,0,0
2011-06-07,4,6,1,0,0,0,1,0,0,0
2011-06-08,5,6,1,0,0,0,0,1,0,0
2011-06-09,6,6,1,0,0,0,0,0,1,0
2011-06-10,7,6,1,0,0,0,0,0,0,1
2011-06-11,1,6,0,1,0,0,0,0,0,0
2011-06-12,2,6,0,0,1,0,0,0,0,0
2011-06-13,3,6,0,0,0,1,0,0,0,0
2011-06-14,4,6,0,0,0,0,1,0,0,0
2011-06-15,5,6,0,0,0,0,0,1,0,0
2011-06-16,6,6,0,0,0,0,0,0,1,0
2011-06-17,7,6,0,0,0,0,0,0,0,1
2011-06-18,1,6,0,1,0,0,0,0,0,0
2011-06-19,2,6,0,0,1,0,0,0,0,0
2011-06-20,3,6,0,0,0,1,0,0,0,0
2011-06-21,4,6,0,0,0,0,1,0,0,0
2011-06-22,5,6,0,0,0,0,0,1,0,0
2011-06-23,6,6,0,0,0,0,0,0,1,0
2011-06-24,7,6,0,0,0,0,0,0,0,1
2011-06-25,1,6,0,1,0,0,0,0,0,0
2011-06-26,2,6,0,0,1,0,0,0,0,0
2011-06-27,3,6,0,0,0,1,0,0,0,0
2011-06-28,4,6,0,0,0,0,1,0,0,0
2011-06-29,5,6,0,0,0,0,0,1,0,0
2011-06-30,6,6,0,0,0,0,0,0,1,0
2011-07-01,7,7,1,0,0,0,0,0,0,1
2011-07-02,1,7,1,1,0,0,0,0,0,0
2011-07-03,2,7,1,0,1,0,0,0,0,0
2011-07-04,3,7,1,0,0,1,0,0,0,0
2011-07-05,4,7,1,0,0,0,1,0,0,0
2011-07-06,5,7,1,0,0,0,0,1,0,0
2011-07-07,6,7,1,0,0,0,0,0,1,0
2011-07-08,7,7,1,0,0,0,0,0,0,1
2011-07-09,1,7,1,1,0,0,0,0,0,0
2011-07-10,2,7,1,0,1,0,0,0,0,0
2011-07-11,3,7,0,0,0,1,0,0,0,0
2011-07-12,4,7,0,0,0,0,1,0,0,0
2011-07-13,5,7,0,0,0,0,0,1,0,0
2011-07-14,6,7,0,0,0,0,0,0,1,0
2011-07-15,7,7,0,0,0,0,0,0,0,1
2011-07-16,1,7,0,1,0,0,0,0,0,0
2011-07-17,2,7,0,0,1,0,0,0,0,0
2011-07-18,3,7,0,0,0,1,0,0,0,0
2011-07-19,4,7,0,0,0,0,1,0,0,0
2011-07-20,5,7,0,0,0,0,0,1,0,0
2011-07-21,6,7,0,0,0,0,0,0,1,0
2011-07-22,7,7,0,0,0,0,0,0,0,1
2011-07-23,1,7,0,1,0,0,0,0,0,0
2011-07-24,2,7,0,0,1,0,0,0,0,0
2011-07-25,3,7,0,0,0,1,0,0,0,0
2011-07-26,4,7,0,0,0,0,1,0,0,0
2011-07-27,5,7,0,0,0,0,0,1,0,0
2011-07-28,6,7,0,0,0,0,0,0,1,0
2011-07-29,7,7,0,0,0,0,0,0,0,1
2011-07-30,1,7,0,1,0,0,0,0,0,0
2011-07-31,2,7,0,0,1,0,0,0,0,0
2011-08-01,3,8,1,0,0,1,0,0,0,0
2011-08-02,4,8,1,0,0,0,1,0,0,0
2011-08-03,5,8,1,0,0,0,0,1,0,0
2011-08-04,6,8,1,0,0,0,0,0,1,0
2011-08-05,7,8,1,0,0,0,0,0,0,1
2011-08-06,1,8,1,1,0,0,0,0,0,0
2011-08-07,2,8,1,0,1,0,0,0,0,0
2011-08-08,3,8,1,0,0,1,0,0,0,0
2011-08-09,4,8,1,0,0,0,1,0,0,0
2011-08-10,5,8,1,0,0,0,0,1,0,0
2011-08-11,6,8,0,0,0,0,0,0,1,0
2011-08-12,7,8,0,0,0,0,0,0,0,1
2011-08-13,1,8,0,1,0,0,0,0,0,0
2011-08-14,2,8,0,0,1,0,0,0,0,0
2011-08-15,3,8,0,0,0,1,0,0,0,0
2011-08-16,4,8,0,0,0,0,1,0,0,0
2011-08-17,5,8,0,0,0,0,0,1,0,0
2011-08-18,6,8,0,0,0,0,0,0,1,0
2011-08-19,7,8,0,0,0,0,0,0,0,1
2011-08-20,1,8,0,1,0,0,0,0,0,0
2011-08-21,2,8,0,0,1,0,0,0,0,0
2011-08-22,3,8,0,0,0,1,0,0,0,0
2011-08-23,4,8,0,0,0,0,1,0,0,0
2011-08-24,5,8,0,0,0,0,0,1,0,0
2011-08-25,6,8,0,0,0,0,0,0,1,0
2011-08-26,7,8,0,0,0,0,0,0,0,1
2011-08-27,1,8,0,1,0,0,0,0,0,0
2011-08-28,2,8,0,0,1,0,0,0,0,0
2011-08-29,3,8,0,0,0,1,0,0,0,0
2011-08-30,4,8,0,0,0,0,1,0,0,0
2011-08-31,5,8,0,0,0,0,0,1,0,0
2011-09-01,6,9,1,0,0,0,0,0,1,0
2011-09-02,7,9,1,0,0,0,0,0,0,1
2011-09-03,1,9,1,1,0,0,0,0,0,0
2011-09-04,2,9,1,0,1,0,0,0,0,0
2011-09-05,3,9,1,0,0,1,0,0,0,0
2011-09-06,4,9,1,0,0,0,1,0,0,0
2011-09-07,5,9,1,0,0,0,0,1,0,0
2011-09-08,6,9,1,0,0,0,0,0,1,0
2011-09-09,7,9,1,0,0,0,0,0,0,1
2011-09-10,1,9,1,1,0,0,0,0,0,0
2011-09-11,2,9,0,0,1,0,0,0,0,0
2011-09-12,3,9,0,0,0,1,0,0,0,0
2011-09-13,4,9,0,0,0,0,1,0,0,0
2011-09-14,5,9,0,0,0,0,0,1,0,0
2011-09-15,6,9,0,0,0,0,0,0,1,0
2011-09-16,7,9,0,0,0,0,0,0,0,1
2011-09-17,1,9,0,1,0,0,0,0,0,0
2011-09-18,2,9,0,0,1,0,0,0,0,0
2011-09-19,3,9,0,0,0,1,0,0,0,0
2011-09-20,4,9,0,0,0,0,1,0,0,0
2011-09-21,5,9,0,0,0,0,0,1,0,0
2011-09-22,6,9,0,0,0,0,0,0,1,0
2011-09-23,7,9,0,0,0,0,0,0,0,1
2011-09-24,1,9,0,1,0,0,0,0,0,0
2011-09-25,2,9,0,0,1,0,0,0,0,0
2011-09-26,3,9,0,0,0,1,0,0,0,0
2011-09-27,4,9,0,0,0,0,1,0,0,0
2011-09-28,5,9,0,0,0,0,0,1,0,0
2011-09-29,6,9,0,0,0,0,0,0,1,0
2011-09-30,7,9,0,0,0,0,0,0,0,1
2011-10-01,1,10,1,1,0,0,0,0,0,0
2011-10-02,2,10,1,0,1,0,0,0,0,0
2011-10-03,3,10,1,0,0,1,0,0,0,0
2011-10-04,4,10,1,0,0,0,1,0,0,0
2011-10-05,5,10,1,0,0,0,0,1,0,0
2011-10-06,6,10,1,0,0,0,0,0,1,0
2011-10-07,7,10,1,0,0,0,0,0,0,1
2011-10-08,1,10,1,1,0,0,0,0,0,0
2011-10-09,2,10,1,0,1,0,0,0,0,0
2011-10-10,3,10,1,0,0,1,0,0,0,0
2011-10-11,4,10,0,0,0,0,1,0,0,0
2011-10-12,5,10,0,0,0,0,0,1,0,0
2011-10-13,6,10,0,0,0,0,0,0,1,0
2011-10-14,7,10,0,0,0,0,0,0,0,1
2011-10-15,1,10,0,1,0,0,0,0,0,0
2011-10-16,2,10,0,0,1,0,0,0,0,0
2011-10-17,3,10,0,0,0,1,0,0,0,0
2011-10-18,4,10,0,0,0,0,1,0,0,0
2011-10-19,5,10,0,0,0,0,0,1,0,0
2011-10-20,6,10,0,0,0,0,0,0,1,0
2011-10-21,7,10,0,0,0,0,0,0,0,1
2011-10-22,1,10,0,1,0,0,0,0,0,0
2011-10-23,2,10,0,0,1,0,0,0,0,0
2011-10-24,3,10,0,0,0,1,0,0,0,0
2011-10-25,4,10,0,0,0,0,1,0,0,0
2011-10-26,5,10,0,0,0,0,0,1,0,0
2011-10-27,6,10,0,0,0,0,0,0,1,0
2011-10-28,7,10,0,0,0,0,0,0,0,1
2011-10-29,1,10,0,1,0,0,0,0,0,0
2011-10-30,2,10,0,0,1,0,0,0,0,0
2011-10-31,3,10,0,0,0,1,0,0,0,0
2011-11-01,4,11,1,0,0,0,1,0,0,0
2011-11-02,5,11,1,0,0,0,0,1,0,0
2011-11-03,6,11,1,0,0,0,0,0,1,0
2011-11-04,7,11,1,0,0,0,0,0,0,1
2011-11-05,1,11,1,1,0,0,0,0,0,0
2011-11-06,2,11,1,0,1,0,0,0,0,0
2011-11-07,3,11,1,0,0,1,0,0,0,0
2011-11-08,4,11,1,0,0,0,1,0,0,0
2011-11-09,5,11,1,0,0,0,0,1,0,0
2011-11-10,6,11,1,0,0,0,0,0,1,0
2011-11-11,7,11,0,0,0,0,0,0,0,1
2011-11-12,1,11,0,1,0,0,0,0,0,0
2011-11-13,2,11,0,0,1,0,0,0,0,0
2011-11-14,3,11,0,0,0,1,0,0,0,0
2011-11-15,4,11,0,0,0,0,1,0,0,0
2011-11-16,5,11,0,0,0,0,0,1,0,0
2011-11-17,6,11,0,0,0,0,0,0,1,0
2011-11-18,7,11,0,0,0,0,0,0,0,1
2011-11-19,1,11,0,1,0,0,0,0,0,0
2011-11-20,2,11,0,0,1,0,0,0,0,0
2011-11-21,3,11,0,0,0,1,0,0,0,0
2011-11-22,4,11,0,0,0,0,1,0,0,0
2011-11-23,5,11,0,0,0,0,0,1,0,0
2011-11-24,6,11,0,0,0,0,0,0,1,0
2011-11-25,7,11,0,0,0,0,0,0,0,1
2011-11-26,1,11,0,1,0,0,0,0,0,0
2011-11-27,2,11,0,0,1,0,0,0,0,0
2011-11-28,3,11,0,0,0,1,0,0,0,0
2011-11-29,4,11,0,0,0,0,1,0,0,0
2011-11-30,5,11,0,0,0,0,0,1,0,0
2011-12-01,6,12,1,0,0,0,0,0,1,0
2011-12-02,7,12,1,0,0,0,0,0,0,1
2011-12-03,1,12,1,1,0,0,0,0,0,0
2011-12-04,2,12,1,0,1,0,0,0,0,0
2011-12-05,3,12,1,0,0,1,0,0,0,0
2011-12-06,4,12,1,0,0,0,1,0,0,0
2011-12-07,5,12,1,0,0,0,0,1,0,0
2011-12-08,6,12,1,0,0,0,0,0,1,0
2011-12-09,7,12,1,0,0,0,0,0,0,1
2011-12-10,1,12,1,1,0,0,0,0,0,0
2011-12-11,2,12,0,0,1,0,0,0,0,0
2011-12-12,3,12,0,0,0,1,0,0,0,0
2011-12-13,4,12,0,0,0,0,1,0,0,0
2011-12-14,5,12,0,0,0,0,0,1,0,0
2011-12-15,6,12,0,0,0,0,0,0,1,0
2011-12-16,7,12,0,0,0,0,0,0,0,1
2011-12-17,1,12,0,1,0,0,0,0,0,0
2011-12-18,2,12,0,0,1,0,0,0,0,0
2011-12-19,3,12,0,0,0,1,0,0,0,0
2011-12-20,4,12,0,0,0,0,1,0,0,0
2011-12-21,5,12,0,0,0,0,0,1,0,0
2011-12-22,6,12,0,0,0,0,0,0,1,0
2011-12-23,7,12,0,0,0,0,0,0,0,1
2011-12-24,1,12,0,1,0,0,0,0,0,0
2011-12-25,2,12,0,0,1,0,0,0,0,0
2011-12-26,3,12,0,0,0,1,0,0,0,0
2011-12-27,4,12,0,0,0,0,1,0,0,0
2011-12-28,5,12,0,0,0,0,0,1,0,0
2011-12-29,6,12,0,0,0,0,0,0,1,0
2011-12-30,7,12,0,0,0,0,0,0,0,1
2011-12-31,1,12,0,1,0,0,0,0,0,0
